programa,hilos,tiempo_s,speedup,eficiencia
riemann,1(sec),23.461365,1.0000,1.0000
riemann,1,23.339974,1.0052,1.0052
riemann,2,11.905931,1.9706,0.9853
riemann,4,5.884031,3.9873,0.9968
riemann,8,3.031298,7.7397,0.9675
riemann,16,2.907833,8.0683,0.5043
riemann,32,2.685739,8.7355,0.2730
histograma,1(sec),0.513465,1.0000,1.0000
histograma,1,0.511787,1.0033,1.0033
histograma,2,0.255036,2.0133,1.0067
histograma,4,0.130185,3.9441,0.9860
histograma,8,0.064930,7.9080,0.9885
histograma,16,0.047819,10.7377,0.6711
histograma,32,0.033619,15.2731,0.4773
